version,phase,cycles,prof_cycles,ctrl_cycles,insn,stalls,text,data,bss,image,fips,evidence,closure
ver0_1,keygen_poly_gen_matrix,318847,319143,296,285823,33024,3300,5696,0,8996,Alg.13 L3–7 / Alg.7,Exact-real-input,True
ver0_1,keygen_hash_h,68354,68617,263,63213,5141,1712,6336,0,8048,Alg.16 L3,Reuse-identical,True
ver0_1,keygen_poly_getnoise_eta_1,65157,65414,257,60561,4596,3512,5376,0,8888,Alg.13 L8–15,Direct,True
ver0_1,keygen_ntt,48830,49081,251,46730,2100,3612,5280,0,8892,Alg.13 L16–17,Direct,True
ver0_1,keygen_basemul_basemul_acc,41754,42077,323,41037,717,3036,6848,0,9884,Alg.13 L18,Direct,True
ver0_1,keygen_poly_reduce,5679,5929,250,5571,108,264,1600,0,1864,Alg.13 L18 support,Direct,True
ver0_1,keygen_poly_add,4203,4454,251,4053,150,224,3072,0,3296,Alg.13 L18,Direct,True
ver0_1,keygen_pack_pk,1853,2105,252,1759,94,648,2752,0,3400,Alg.13 L19,Direct,True
ver0_1,keygen_pack_sk,1849,2099,250,1757,92,640,2688,0,3328,Alg.13 L20,Direct,True
ver0_1,keygen_sha3_init_update_final,5399,5651,252,5185,214,1736,5152,0,6888,Alg.13 L1 / G(d‖k),Direct,True
ver0_1,keygen_poly_gen_matrix_shake,266007,266258,251,245283,20724,5112,5152,0,10264,Alg.7 子分解 / XOF 路径,Direct,False
ver0_1,keygen_poly_gen_matrix_rejection,55731,56072,341,42674,13057,2028,15552,0,17580,Alg.7 子分解 / 拒绝采样,Direct,False
ver0_1,keygen_poly_gen_matrix_stub_overhead,2199,2452,253,1442,757,900,5824,0,6724,校准（非 FIPS 步骤）,Calibration,False
ver0_1,encap_poly_gen_matrix,324518,324814,296,291247,33271,3300,5696,0,8996,Alg.14 L4–8 / Alg.7,Exact-real-input,True
ver0_1,encap_intt,8773,9029,256,8423,350,3844,5792,0,9636,"Alg.14 L19,L21",Direct,True
ver0_1,encap_pack_ciphertext,8819,9075,256,8617,202,1068,3200,0,4268,Alg.14 L22–24,Direct,True
ver0_1,encap_unpack_pk,1879,2136,257,1785,94,384,6848,0,7232,Alg.14 L2–3,Direct,True
ver0_1,encap_poly_frommsg,1355,1607,252,1335,20,216,576,0,792,Alg.14 L20,Direct,True
ver0_1,encap_hash_g,6114,6372,258,5781,333,1692,1152,0,2844,Alg.17 L2 / G(m‖H(ek)),Direct,True
ver0_1,decap_poly_gen_matrix,341285,341581,296,307328,33957,3300,5696,0,8996,Alg.18 L8→Alg.14 L4–8,Exact-real-input,True
ver0_1,decap_unpack_ciphertext,8264,8520,256,8061,203,1068,3232,0,4300,Alg.15 L1–4,Direct,True
ver0_1,decap_poly_sub,139,391,252,88,51,208,1568,0,1776,Alg.15 L6,Direct,True
ver0_1,decap_poly_tomsg,1393,1647,254,1372,21,252,608,0,860,Alg.15 L7,Direct,True
ver0_1,decap_shake_z_ct,67727,67993,266,62715,5012,1732,2176,0,3908,Alg.18 L9 / J(z‖c),Direct,True
ver0_1,decap_verify_cmov,397,658,261,289,108,292,6816,0,7108,Alg.18 L9–10,Direct,True
