version,phase,cycles,prof_cycles,ctrl_cycles,insn,stalls,text,data,bss,image,fips,evidence,closure,mulqacc,calls,prof_err_bits,ctrl_err_bits,prof_ecall,halt_warn
ver1_1,encap_basemul_acc_x12,33852,34523,671,10284,23568,2708,5792,0,8500,"Alg.14 L19,L21",Direct,True,0,"{'basemul': 3, 'basemul_acc': 12}",0,0,1,
ver1_1,encap_ntt_x3,6939,7201,262,2670,4269,1596,2720,0,4316,Alg.14 L18,Direct,True,0,"{'_load_64x32': 24, '_store_64x32': 24, '_transpose_8x8_w0w16': 12, 'ntt': 3}",0,0,1,
ver1_1,encap_poly_add_x5,1250,1525,275,740,510,1736,2208,0,3944,"Alg.14 L19,L21",Direct,True,0,{'poly_add': 5},0,0,1,
ver1_1,decap_noise_x7,21560,21824,264,20454,1106,1700,1248,0,2948,Alg.18 L8→Alg.14 L9–17,Direct,True,0,"{'_xof_ready_poll': 35, '_xof_rsp_valid_poll': 14, 'cbd2': 7, 'poly_getnoise_eta_2': 7, 'xof_absorb': 7, 'xof_finish': 7, 'xof_process': 7, 'xof_shake256_init': 7, 'xof_squeeze32': 28}",0,0,1,
ver1_1,decap_basemul_acc_x15,47085,47878,793,14151,32934,2968,5792,0,8760,"Alg.15 L6 + Alg.14 L19,L21",Direct,True,0,"{'basemul': 6, 'basemul_acc': 15}",0,0,1,
ver1_1,decap_ntt_x6,13878,14149,271,5340,8538,1644,2720,0,4364,Alg.15 L6 + Alg.14 L18,Direct,True,0,"{'_load_64x32': 48, '_store_64x32': 48, '_transpose_8x8_w0w16': 24, 'ntt': 6}",0,0,1,
ver1_1,decap_intt_x5,13680,13948,268,4800,8880,2892,3264,0,6156,"Alg.15 L6 + Alg.14 L19,L21",Direct,True,0,"{'_load_64x32': 40, '_store_64x32': 40, '_transpose_8x8_w0w16': 20, 'intt': 5}",0,0,1,
ver1_1,decap_pack_ciphertext,13038,13309,271,11156,1882,1236,3296,0,4532,Alg.18 L8→Alg.14 L22–24,Direct,True,0,"{'compress_10': 3, 'encode_10': 3, 'encode_4': 1, 'poly_compress': 1}",0,0,1,
ver1_1,decap_poly_add_x5,1250,1525,275,740,510,1736,2208,0,3944,"Alg.14 L19,L21",Direct,True,0,{'poly_add': 5},0,0,1,
ver1_1,decap_hash_g_reuse,342,615,273,249,93,692,288,0,980,Alg.18 L8 → G(m'‖h),Direct,True,0,"{'_xof_ready_poll': 5, '_xof_rsp_valid_poll': 2, 'xof_absorb': 2, 'xof_finish': 1, 'xof_process': 1, 'xof_sha3_512_init': 1, 'xof_squeeze32': 2}",0,0,1,
ver1_1,decap_unpack_sk_pk,22428,22709,281,22134,294,680,3488,0,4168,Alg.15 L5 + Alg.14 L2–3,Direct,True,0,{'poly_frombytes': 6},0,0,1,
ver1_1,decap_poly_frommsg_reuse,960,1217,257,920,40,1648,1216,0,2864,Alg.18 L8→Alg.14 L20,Direct,True,0,{'poly_frommsg': 1},0,0,1,
ver1_1,keygen_poly_gen_matrix_shake,12105,12992,887,9279,2826,3276,928,0,4204,Alg.7 子分解 / XOF 路径,Direct,False,0,"{'_xof_ready_poll': 45, '_xof_rsp_valid_poll': 45, 'xof_absorb': 9, 'xof_finish': 9, 'xof_process': 9, 'xof_shake128_init': 9, 'xof_squeeze32': 189}",0,0,1,
ver1_1,keygen_poly_gen_matrix_rejection,39790,40137,347,31479,8311,1392,15520,0,16912,Alg.7 子分解 / 拒绝采样,Direct,False,0,"{'poly_gen_matrix': 9, 'sample_ntt_poly': 9, 'xof_absorb': 9, 'xof_finish': 9, 'xof_process': 9, 'xof_shake128_init': 9, 'xof_squeeze32': 189}",0,0,1,
ver1_1,keygen_poly_gen_matrix_stub_overhead,5625,6499,874,4230,1395,2888,6976,0,9864,校准（非 FIPS 步骤）,Calibration,False,0,"{'xof_absorb': 9, 'xof_finish': 9, 'xof_process': 9, 'xof_shake128_init': 9, 'xof_squeeze32': 189}",0,0,1,
