version,phase,cycles,prof_cycles,ctrl_cycles,insn,stalls,text,data,bss,image,fips,evidence,closure,mulqacc,calls
ver0_2,keygen_ntt,48830,49081,251,46730,2100,3612,5280,0,8892,Alg.13 L16–17,Direct,True,10752,{'ntt': 6}
ver0_2,keygen_basemul_basemul_acc,41754,42077,323,41037,717,3036,6848,0,9884,Alg.13 L18,Direct,True,16128,"{'basemul_acc': 6, 'basemul': 3}"
ver0_2,keygen_poly_reduce,5679,5929,250,5571,108,264,1600,0,1864,Alg.13 L18 support,Direct,True,1536,{'poly_reduce': 3}
ver0_2,keygen_poly_add,4203,4454,251,4053,150,224,3072,0,3296,Alg.13 L18,Direct,True,0,{'poly_add': 3}
ver0_2,keygen_pack_pk,1853,2105,252,1759,94,616,2752,0,3368,Alg.13 L19,Direct,True,0,"{'poly_tobytes': 3, 'pack_pk': 1}"
ver0_2,keygen_pack_sk,1849,2099,250,1757,92,608,2688,0,3296,Alg.13 L20,Direct,True,0,"{'poly_tobytes': 3, 'pack_sk': 1}"
ver0_2,keygen_hash_h,2210,2462,252,1618,592,648,5312,0,5960,Alg.16 L3,Direct,True,0,"{'_xof_ready_poll': 40, 'xof_absorb': 1, 'xof_squeeze32': 1, '_xof_rsp_valid_poll': 2, 'xof_sha3_256_init': 1, 'xof_process': 1, 'xof_finish': 1}"
ver0_2,keygen_sha3_init_update_final,362,614,252,267,95,692,4224,0,4916,Alg.13 L1 / G(d‖k),Direct,True,0,"{'xof_absorb': 2, 'xof_squeeze32': 2, 'xof_sha3_512_init': 1, '_xof_rsp_valid_poll': 2, '_xof_ready_poll': 5, 'xof_process': 1, 'xof_finish': 1}"
ver0_2,keygen_poly_getnoise_eta_1,12783,13040,257,11955,828,1984,5320,0,7304,Alg.13 L8–15,Direct,True,0,"{'xof_absorb': 12, 'cbd2': 6, 'xof_process': 6, 'xof_shake256_init': 6, 'xof_squeeze32': 24, '_xof_rsp_valid_poll': 12, '_xof_ready_poll': 30, 'xof_finish': 6, 'poly_getnoise_eta_1': 6}"
ver0_2,keygen_poly_gen_matrix,47736,48032,296,36513,11223,1460,5664,0,7124,Alg.13 L3–7 / Alg.7,Exact-real-input,True,0,"{'xof_absorb': 18, 'poly_gen_matrix': 9, '_poly_uniform_inner_loop': 134, 'xof_process': 9, '_xof_rsp_valid_poll': 36, 'xof_squeeze32': 135, 'xof_shake128_init': 9, '_xof_ready_poll': 45, 'xof_finish': 9}"
ver0_2,encap_hash_g,352,604,252,260,92,672,4224,0,4896,Alg.17 L2 / G(m‖H(ek)),Direct,True,0,"{'xof_absorb': 1, 'xof_squeeze32': 2, 'xof_sha3_512_init': 1, '_xof_rsp_valid_poll': 2, '_xof_ready_poll': 5, 'xof_process': 1, 'xof_finish': 1}"
ver0_2,encap_poly_gen_matrix,47736,48032,296,36513,11223,1460,5664,0,7124,Alg.14 L4–8 / Alg.7,Exact-real-input,True,0,"{'xof_absorb': 18, 'poly_gen_matrix': 9, '_poly_uniform_inner_loop': 134, 'xof_process': 9, '_xof_rsp_valid_poll': 36, 'xof_squeeze32': 135, 'xof_shake128_init': 9, '_xof_ready_poll': 45, 'xof_finish': 9}"
ver0_2,decap_poly_gen_matrix,47736,48032,296,36513,11223,1460,5664,0,7124,Alg.18 L8→Alg.14 L4–8,Exact-real-input,True,0,"{'xof_absorb': 18, 'poly_gen_matrix': 9, '_poly_uniform_inner_loop': 134, 'xof_process': 9, '_xof_rsp_valid_poll': 36, 'xof_squeeze32': 135, 'xof_shake128_init': 9, '_xof_ready_poll': 45, 'xof_finish': 9}"
ver0_2,decap_shake_z_ct,2141,2393,252,1567,574,668,5248,0,5916,Alg.18 L9 / J(z‖c),Direct,True,0,"{'xof_absorb': 2, 'xof_squeeze32': 1, '_xof_rsp_valid_poll': 2, '_xof_ready_poll': 38, 'xof_process': 1, 'xof_shake256_init': 1, 'xof_finish': 1}"
ver0_2,encap_intt,8773,9029,256,8423,350,3844,5792,0,9636,"Alg.14 L19,L21",Direct (单次),False,2048,{'intt': 1}
ver0_2,encap_pack_ciphertext,8819,9075,256,8617,202,1068,3200,0,4268,Alg.14 L22–24,Direct,True,1024,"{'poly_compress': 1, 'pack_ciphertext': 1, 'polyvec_compress': 1, 'polyvec_compress_16': 48}"
ver0_2,encap_unpack_pk,1874,2131,257,1781,93,368,6848,0,7216,Alg.14 L2–3,Direct,True,0,"{'unpack_pk': 1, 'poly_frombytes': 3}"
ver0_2,encap_poly_frommsg,1355,1607,252,1335,20,216,576,0,792,Alg.14 L20,Direct,True,0,{'poly_frommsg': 1}
ver0_2,decap_unpack_ciphertext,8264,8520,256,8061,203,1068,3232,0,4300,Alg.15 L1–4,Direct,True,1024,"{'poly_decompress': 1, 'polyvec_decompress': 1, 'unpack_ciphertext': 1, 'polyvec_decompress_16': 48}"
ver0_2,decap_poly_sub,139,391,252,88,51,208,1568,0,1776,Alg.15 L6,Direct,True,0,{'poly_sub': 1}
ver0_2,decap_poly_tomsg,1393,1647,254,1372,21,252,608,0,860,Alg.15 L7,Direct,True,256,{'poly_tomsg': 1}
ver0_2,decap_verify_cmov,397,658,261,289,108,292,6816,0,7108,Alg.18 L9–10,Direct,True,0,{}
