version,phase,cycles,prof_cycles,ctrl_cycles,insn,stalls,text,data,bss,image,fips,evidence,closure,mulqacc,calls,prof_err_bits,ctrl_err_bits,prof_ecall,halt_warn
ver0_1,keygen_poly_gen_matrix,307390,307686,296,274883,32507,3300,5696,0,8996,Alg.13 L3–7 / Alg.7,Exact-real-input,True,0,"{'shake_out': 135, 'sha3_init': 9, '_poly_uniform_inner_loop': 134, 'sha3_update': 18, 'poly_gen_matrix': 9, 'keccakf': 27, 'shake_xof': 9}",0,0,1,
ver0_1,keygen_hash_h,68354,68617,263,63213,5141,1712,6336,0,8048,Alg.16 L3,Direct,True,0,"{'sha3_final': 1, 'sha3_update': 1, 'sha3_init': 1, 'keccakf': 9}",0,0,1,
ver0_1,keygen_poly_getnoise_eta_1,65118,65414,296,60522,4596,3512,5376,0,8888,Alg.13 L8–15,Direct,True,0,"{'cbd2': 6, 'shake_out': 24, 'sha3_init': 6, 'sha3_update': 12, 'poly_getnoise_eta_1': 6, 'keccakf': 6, 'shake_xof': 6}",0,0,1,
ver0_1,keygen_ntt,48810,49081,271,46710,2100,3612,5280,0,8892,Alg.13 L16–17,Direct,True,10752,{'ntt': 6},0,0,1,
ver0_1,keygen_basemul_basemul_acc,41754,42077,323,41037,717,3036,6848,0,9884,Alg.13 L18,Direct,True,16128,"{'basemul_acc': 6, 'basemul': 3}",0,0,1,
ver0_1,keygen_poly_reduce,5679,5929,250,5571,108,264,1600,0,1864,Alg.13 L18 support,Direct,True,1536,{'poly_reduce': 3},0,0,1,
ver0_1,keygen_poly_add,4203,4454,251,4053,150,224,3072,0,3296,Alg.13 L18,Direct,True,0,{'poly_add': 3},0,0,1,
ver0_1,keygen_pack_pk,1853,2105,252,1759,94,648,2752,0,3400,Alg.13 L19,Direct,True,0,"{'poly_tobytes': 3, 'pack_pk': 1}",0,0,1,
ver0_1,keygen_pack_sk,1849,2099,250,1757,92,640,2688,0,3328,Alg.13 L20,Direct,True,0,"{'poly_tobytes': 3, 'pack_sk': 1}",0,0,1,
ver0_1,keygen_sha3_init_update_final,5382,5651,269,5169,213,1736,5152,0,6888,Alg.13 L1 / G(d‖k),Direct,True,0,"{'sha3_final': 1, 'sha3_update': 2, 'sha3_init': 1, 'keccakf': 1}",0,0,1,
ver0_1,keygen_poly_gen_matrix_shake,254583,255518,935,234207,20376,5072,5152,0,10224,Alg.7 子分解 / XOF 路径,Direct,False,0,"{'shake_out': 135, 'sha3_init': 9, 'sha3_update': 18, 'keccakf': 27, 'shake_xof': 9}",0,0,1,
ver0_1,keygen_poly_gen_matrix_rejection,54976,55317,341,42098,12878,2028,14144,0,16172,Alg.7 子分解 / 拒绝采样,Direct,False,0,"{'shake_out': 135, 'sha3_init': 9, '_poly_uniform_inner_loop': 134, 'sha3_update': 18, 'poly_gen_matrix': 9, 'shake_xof': 9}",0,0,1,
ver0_1,keygen_poly_gen_matrix_stub_overhead,2169,2462,293,1422,747,1052,4416,0,5468,校准（非 FIPS 步骤）,Calibration,False,0,"{'shake_out': 135, 'sha3_update': 18, 'sha3_init': 9, 'shake_xof': 9}",0,0,1,
ver0_1,encap_poly_gen_matrix,307390,307686,296,274883,32507,3300,5696,0,8996,Alg.14 L4–8 / Alg.7,Exact-real-input,True,0,"{'shake_out': 135, 'sha3_init': 9, '_poly_uniform_inner_loop': 134, 'sha3_update': 18, 'poly_gen_matrix': 9, 'keccakf': 27, 'shake_xof': 9}",0,0,1,
ver0_1,encap_intt,8773,9029,256,8423,350,3844,5792,0,9636,"Alg.14 L19,L21",Direct (单次),False,2048,{'intt': 1},0,0,1,
ver0_1,encap_pack_ciphertext,8819,9075,256,8617,202,1068,3200,0,4268,Alg.14 L22–24,Direct,True,1024,"{'pack_ciphertext': 1, 'polyvec_compress': 1, 'poly_compress': 1, 'polyvec_compress_16': 48}",0,0,1,
ver0_1,encap_unpack_pk,1879,2136,257,1785,94,384,6848,0,7232,Alg.14 L2–3,Direct,True,0,"{'unpack_pk': 1, 'poly_frombytes': 3}",0,0,1,
ver0_1,encap_poly_frommsg,1355,1607,252,1335,20,216,576,0,792,Alg.14 L20,Direct,True,0,{'poly_frommsg': 1},0,0,1,
ver0_1,encap_hash_g,6114,6372,258,5781,333,1692,1152,0,2844,Alg.17 L2 / G(m‖H(ek)),Direct,True,0,"{'sha3_final': 1, 'sha3_update': 1, 'sha3_init': 1, 'keccakf': 1}",0,0,1,
ver0_1,decap_poly_gen_matrix,307390,307686,296,274883,32507,3300,5696,0,8996,Alg.18 L8→Alg.14 L4–8,Exact-real-input,True,0,"{'shake_out': 135, 'sha3_init': 9, '_poly_uniform_inner_loop': 134, 'sha3_update': 18, 'poly_gen_matrix': 9, 'keccakf': 27, 'shake_xof': 9}",0,0,1,
ver0_1,decap_unpack_ciphertext,8264,8520,256,8061,203,1068,3232,0,4300,Alg.15 L1–4,Direct,True,1024,"{'poly_decompress': 1, 'unpack_ciphertext': 1, 'polyvec_decompress_16': 48, 'polyvec_decompress': 1}",0,0,1,
ver0_1,decap_poly_sub,139,391,252,88,51,208,1568,0,1776,Alg.15 L6,Direct,True,0,{'poly_sub': 1},0,0,1,
ver0_1,decap_poly_tomsg,1393,1647,254,1372,21,252,608,0,860,Alg.15 L7,Direct,True,256,{'poly_tomsg': 1},0,0,1,
ver0_1,decap_shake_z_ct,67727,67993,266,62715,5012,1732,2176,0,3908,Alg.18 L9 / J(z‖c),Direct,True,0,"{'shake_out': 1, 'sha3_init': 1, 'sha3_update': 2, 'keccakf': 9, 'shake_xof': 1}",0,0,1,
ver0_1,decap_verify_cmov,397,658,261,289,108,292,6816,0,7108,Alg.18 L9–10,Direct,True,0,{},0,0,1,
ver0_1,encap_poly_reduce_x4,7572,7838,266,7428,144,332,5760,0,6092,"Alg.14 L19,L21 support",Direct,True,2048,{'poly_reduce': 4},0,0,1,
ver0_1,decap_poly_reduce_x5,9465,9735,270,9285,180,352,5760,0,6112,arithmetic support,Direct,True,2560,{'poly_reduce': 5},0,0,1,
